56,4,8,3,1,2,6,36,137,13,9,31,16,4,2,91,60,2,4,32,30,10,6,58,79,0,0,0,0,0,1,79,40,0,0,0,0,0,2,19,137,33,9,35,19,2,1,62,57,16,10,137,105,14,16,52,137,12,0,11,3,0,3,122,4,0,0,0,0,0,0,0,137,11,2,14,2,0,0,53,63,14,13,137,78,1,4,80,133,51,19,68,14,0,1,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,25,6,1,3,24,9,1,28,130,33,17,14,29,6,0,11,37
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,7,7,1,0,7,21,9,17,18,69,55,29,5,0,2,0,0,0,0,2,1,0,0,13,2,0,1,50,27,75,20,125,20,0,0,3,21,125,98,82,26,5,6,58,125,19,11,1,0,0,0,7,49,31,4,57,13,0,6,115,125,46,13,125,36,0,2,9,55,84,70,77,100,0,0,3,125,75,17,2,0,2,5,30,64,12,4,42,20,20,1,12,68,24,27,106,70,14,0,0,19,40,42,114,125,4,3,0,8,9,3
137,76,0,0,27,23,3,3,137,120,0,0,2,2,1,13,53,8,0,10,113,85,4,14,0,0,2,14,44,39,6,1,137,65,7,6,1,5,2,24,137,51,1,3,8,1,0,32,29,12,2,43,137,7,0,0,0,0,1,16,22,0,0,0,137,20,25,31,19,1,0,38,137,33,2,1,7,4,0,46,24,4,1,9,55,9,0,2,0,0,0,1,2,0,0,0,46,94,80,15,3,1,0,2,137,137,14,1,0,0,0,3,5,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,6,13,7,2,0,0,1,79,134,13,2,0,0,1,19,92,124,7,9,43,10,0,3,0,0,0,0,14,11,0,0,25,6,8,14,69,67,4,7,137,137,8,3,3,8,3,15,104,87,6,15,137,10,0,3,2,0,0,13,59,15,0,5,37,8,4,49,116,33,1,2,137,13,2,4,3,2,1,74,101,1,0,4,137,31,8,63,11,2,1,8,26,7,5,21,11,12,8,38,74,3,0,0,137,42,4,3,2,0,0,36,43,6,0,2,59,51,14,51
0,0,0,0,4,6,7,0,75,12,0,1,17,17,23,35,79,33,8,1,25,17,8,66,7,19,4,2,114,87,20,12,0,0,2,23,17,13,15,0,34,4,0,13,39,48,104,80,116,7,0,5,51,26,38,116,66,34,10,22,116,53,2,6,0,0,3,57,75,40,3,0,46,83,17,55,102,23,8,6,116,115,7,13,19,6,8,37,57,22,50,65,27,1,2,15,8,3,0,5,62,116,23,10,107,57,4,4,16,42,25,17,91,39,1,0,1,58,39,41,100,10,8,17,7,14,9,24
97,12,3,2,0,0,2,77,126,22,2,0,0,0,4,59,126,0,0,0,0,0,2,62,13,8,1,0,1,0,3,7,105,107,17,18,2,0,1,6,107,80,16,31,18,0,0,25,126,7,0,2,2,0,0,79,54,28,1,0,0,0,0,7,126,108,4,3,4,4,3,13,77,55,9,46,76,16,1,1,126,59,0,6,6,0,0,5,83,28,2,0,0,0,0,0,109,126,10,12,37,10,0,0,61,15,3,9,71,51,13,20,126,35,0,0,1,0,1,7,54,16,0,0,0,0,0,0
6,0,0,4,86,77,14,9,132,7,0,0,7,12,12,55,132,11,0,0,0,1,1,90,26,0,0,4,83,35,4,27,15,2,0,8,132,59,1,2,132,50,0,1,17,4,0,20,132,69,0,0,0,0,0,21,40,3,1,26,68,11,2,10,25,15,10,14,43,76,4,1,132,26,1,0,1,2,1,55,132,7,0,0,0,0,0,98,58,5,2,30,34,1,0,11,11,22,64,39,7,1,0,0,72,11,21,26,5,0,0,52,132,1,0,0,0,0,0,123,67,1,0,4,13,2,0,28
2,0,0,3,38,22,45,47,36,11,0,0,1,3,45,125,11,4,1,1,1,2,88,125,0,0,0,0,0,0,87,73,23,1,0,10,17,13,58,18,125,89,12,10,3,2,11,40,28,35,19,85,96,20,72,53,11,1,1,16,24,8,125,125,26,10,21,67,16,1,2,3,125,32,12,5,2,2,32,106,27,7,12,75,84,25,71,68,34,31,92,78,25,2,8,33,1,20,38,23,1,0,0,0,11,75,74,4,0,0,7,16,28,12,47,21,5,2,19,57,17,9,44,9,1,1,8,76
10,9,25,102,92,0,0,1,143,28,0,20,37,0,0,0,143,50,0,0,0,0,2,16,18,5,0,0,14,27,12,16,28,1,0,17,143,56,5,39,143,29,0,3,79,16,0,12,122,25,0,0,0,5,10,20,5,0,0,0,4,34,32,17,38,0,0,0,78,143,28,94,143,13,0,0,27,42,3,52,87,10,3,2,1,10,12,22,2,0,6,2,5,20,6,4,39,0,0,0,15,67,32,72,143,13,1,0,4,14,2,81,68,16,24,12,0,0,1,23,0,8,34,13,1,0,0,0
76,0,0,0,22,66,27,105,118,22,0,0,57,100,5,16,129,44,0,0,0,3,3,7,5,1,0,0,0,16,20,11,69,0,0,1,6,75,35,105,133,53,0,0,5,68,8,28,111,39,12,10,0,2,5,10,2,0,12,7,2,12,5,2,35,39,10,0,2,14,19,63,133,43,11,0,0,5,4,58,133,13,21,12,0,0,0,31,1,6,31,29,7,0,0,0,35,133,54,8,10,8,2,10,127,46,42,14,25,27,8,62,133,4,0,0,0,0,1,85,13,3,2,21,15,0,0,13
