0,6,8,90,138,1,0,0,12,98,29,19,13,18,11,2,6,64,43,6,19,69,16,1,0,56,86,15,22,11,0,0,0,2,5,26,138,33,0,0,23,13,8,8,51,138,19,7,138,104,11,0,3,49,22,19,25,73,57,45,12,0,0,1,0,0,0,15,138,49,0,0,35,14,9,30,86,94,2,3,138,31,3,2,2,6,1,27,82,8,4,26,24,0,0,6,0,4,9,33,32,14,0,0,11,17,22,95,26,1,0,0,138,41,6,4,0,0,0,8,76,2,0,5,18,5,2,14
10,96,24,12,5,6,3,0,3,73,57,11,33,50,5,0,0,80,88,20,36,12,1,0,0,56,41,22,19,4,1,0,16,34,11,16,37,75,14,5,125,106,10,0,10,80,24,20,32,125,90,54,9,2,0,1,0,3,18,118,41,0,0,0,13,3,4,13,98,110,2,4,125,23,2,2,9,22,3,65,125,16,8,36,14,0,0,25,0,0,1,78,108,0,0,0,3,7,19,70,49,8,0,0,125,34,12,10,1,0,0,16,125,2,1,6,13,2,1,32,0,0,0,51,64,4,0,0
78,1,0,0,0,0,0,49,99,0,0,0,0,0,0,84,96,17,0,0,0,0,0,41,12,16,8,13,28,1,0,3,29,12,2,0,0,0,18,128,110,9,0,0,0,0,2,128,128,28,0,0,0,0,0,54,41,33,12,15,67,14,0,0,19,94,56,0,0,0,3,19,128,90,6,0,0,0,0,25,128,50,0,0,0,0,0,19,46,6,0,0,121,70,2,12,6,19,9,0,0,0,42,30,98,19,1,0,0,0,9,69,128,4,0,0,0,3,24,86,13,0,0,0,110,111,33,17
1,0,0,22,112,21,32,30,11,4,14,27,68,21,28,19,53,5,19,30,5,0,0,37,45,11,42,44,0,0,0,34,10,0,0,58,127,16,17,9,133,44,34,53,25,2,6,12,27,14,35,133,21,0,0,22,45,2,4,34,9,0,0,133,6,0,0,11,68,31,24,23,133,10,4,14,37,13,1,41,84,8,8,133,46,0,0,8,4,0,0,133,36,0,0,58,2,0,0,0,38,28,10,5,133,0,0,0,21,14,0,46,119,3,1,57,13,0,0,19,0,0,0,133,30,0,0,0
0,0,0,0,0,26,113,25,7,0,0,0,0,24,113,113,3,0,0,0,0,1,113,113,0,0,0,8,77,99,106,26,9,1,0,0,0,78,102,11,113,10,0,0,0,31,47,65,35,1,0,0,4,60,82,69,11,3,0,0,85,89,69,52,28,27,3,1,7,30,12,1,113,43,0,0,2,28,12,11,18,0,0,0,21,113,21,23,45,36,0,0,27,103,29,30,34,12,1,0,0,3,8,19,26,9,0,0,1,22,50,18,5,4,0,0,25,73,14,2,113,113,0,0,9,51,8,1
7,2,0,0,0,7,14,43,77,20,4,0,0,0,2,78,73,92,41,0,0,0,0,9,3,73,105,0,0,0,0,0,24,7,0,0,0,4,19,26,133,25,0,0,0,0,0,65,133,36,2,0,0,0,0,55,78,59,39,0,0,0,0,5,100,13,0,0,0,0,4,41,133,112,0,0,0,0,0,4,133,69,0,0,0,0,0,17,133,16,1,0,0,0,0,10,92,4,9,3,0,0,0,63,133,39,0,0,0,0,0,46,133,72,0,0,0,0,0,3,119,39,0,0,0,0,0,0
30,0,0,0,0,0,0,30,15,2,0,0,0,0,1,21,40,17,0,0,0,0,0,4,6,43,3,0,2,5,0,0,7,0,0,0,0,0,26,80,33,1,0,0,0,0,11,79,101,58,1,0,1,1,0,9,8,43,6,0,46,137,1,0,34,0,0,0,0,1,21,62,128,7,0,0,0,0,2,62,148,26,0,0,14,53,4,10,10,5,0,0,148,148,2,1,58,15,0,0,0,0,0,3,138,44,0,0,0,0,0,2,75,16,0,0,100,148,4,4,0,0,0,0,148,148,1,0
0,29,37,12,0,0,0,0,48,25,18,41,1,0,0,0,133,94,2,0,0,0,0,0,14,71,28,0,0,0,0,0,10,57,37,24,1,0,0,0,63,12,18,105,25,0,0,0,133,92,5,5,1,0,0,6,36,71,73,5,0,0,0,0,50,23,11,14,5,0,0,5,39,15,18,133,33,0,0,2,133,14,2,27,9,0,0,84,121,23,29,5,0,0,0,30,95,9,3,10,16,0,0,9,82,20,20,133,48,0,0,5,133,0,0,73,47,0,0,81,133,4,3,1,1,0,0,83
18,0,0,5,63,44,19,47,26,123,67,46,117,20,0,2,42,123,49,3,1,0,0,7,0,36,92,6,0,0,0,0,10,10,24,2,8,14,16,26,81,53,22,3,9,6,1,31,123,44,3,0,0,0,0,74,29,86,10,0,0,0,0,2,0,13,110,11,0,0,0,0,15,85,83,0,0,0,0,3,123,123,9,0,0,0,0,8,71,82,0,0,0,0,0,0,0,4,123,11,0,0,0,0,0,66,123,1,0,0,0,0,17,123,108,0,0,0,0,0,20,70,62,1,0,0,0,0
1,1,1,1,106,93,1,1,118,8,0,0,25,31,4,13,121,18,0,0,0,0,1,21,107,11,0,0,0,0,26,53,13,5,3,21,99,102,12,4,121,18,1,4,16,15,5,15,92,3,0,0,0,16,99,72,12,0,0,0,0,2,121,106,19,63,43,121,43,4,3,3,54,28,20,68,10,10,13,9,7,0,0,5,14,63,70,11,3,0,0,0,2,11,80,76,2,26,18,121,60,1,0,2,0,0,6,118,88,29,0,0,0,0,0,9,31,76,17,0,0,0,0,0,5,49,45,9
