53,9,3,0,0,1,9,7,142,83,9,0,0,0,0,46,142,24,9,7,9,0,0,86,25,0,0,87,142,0,0,8,67,15,4,0,0,0,0,0,142,77,23,2,0,0,0,4,126,49,49,16,2,0,0,19,51,3,0,79,142,2,0,12,30,13,1,0,0,0,0,0,142,20,2,1,0,0,0,34,98,11,7,11,3,7,6,31,39,3,2,76,56,0,1,22,7,5,0,0,0,0,0,0,142,40,3,0,0,0,0,18,57,4,0,1,11,41,24,37,10,0,1,10,2,9,22,113
32,28,7,0,0,7,104,61,13,23,28,2,1,56,126,44,0,4,36,27,63,126,51,0,0,12,68,39,55,34,0,0,19,1,0,0,4,73,126,48,126,60,19,0,0,14,118,99,24,44,112,27,23,69,17,5,0,2,54,33,24,88,3,0,32,68,49,2,6,34,8,4,126,98,11,0,0,8,19,58,30,10,11,12,21,113,34,26,0,0,13,15,11,54,1,0,2,94,83,0,0,0,0,0,22,89,27,0,0,0,1,4,4,8,3,2,0,1,2,2,0,0,0,1,0,0,0,0
0,0,0,69,139,3,0,0,72,1,0,34,66,2,0,10,146,13,0,0,0,0,0,26,39,6,0,0,0,0,0,10,0,0,0,98,113,7,1,0,79,4,1,103,138,1,0,8,146,42,3,7,4,0,0,18,33,19,5,10,8,2,0,1,6,15,12,44,52,15,9,3,29,18,34,146,44,0,0,0,146,36,14,39,2,4,2,45,35,2,0,2,16,62,12,19,17,59,29,32,10,3,2,8,6,21,52,146,2,0,0,4,51,55,40,77,7,2,1,8,12,9,1,9,83,54,7,4
8,15,0,0,0,3,7,1,48,54,0,0,0,2,19,9,31,24,0,1,4,35,58,10,0,34,37,25,41,34,10,0,26,31,0,0,0,14,16,2,20,11,0,0,0,57,92,14,93,45,0,0,0,13,69,34,37,128,26,0,0,10,14,9,5,2,0,0,0,76,127,4,35,3,0,0,0,59,99,62,128,17,0,0,0,1,39,100,31,10,0,0,0,32,128,52,0,0,0,0,0,128,128,11,5,0,0,0,0,9,128,128,16,0,0,0,0,0,86,128,4,3,0,0,0,17,94,39
2,0,0,0,0,0,114,115,14,1,1,0,0,0,25,123,6,4,8,0,0,0,24,54,13,10,21,0,0,0,2,33,87,3,0,0,0,0,60,123,123,14,0,0,0,0,3,119,53,71,23,0,0,0,8,25,17,45,46,4,0,0,1,28,123,122,35,3,0,0,2,15,123,91,0,0,0,0,0,14,123,35,6,0,0,0,0,56,30,31,39,8,0,0,7,55,8,123,123,5,0,0,0,0,40,101,41,1,0,0,0,5,25,4,17,1,0,0,6,67,3,0,2,0,0,0,30,98
2,131,131,0,0,0,0,0,12,131,131,0,0,0,0,1,1,131,131,0,0,2,3,1,0,73,40,0,0,14,21,2,21,61,47,0,0,37,80,39,131,82,16,1,0,0,16,87,31,28,14,33,7,6,5,2,0,2,21,22,10,25,16,0,29,118,92,0,2,31,39,15,131,131,16,0,0,0,4,29,56,11,3,24,15,13,0,2,0,1,16,16,8,9,2,0,2,80,96,0,0,5,20,6,33,90,17,0,0,3,13,33,9,7,0,1,9,49,11,4,1,0,0,0,2,14,28,3
6,0,2,62,17,2,1,40,47,2,5,36,6,0,0,73,40,0,0,10,7,1,2,89,4,0,0,51,27,0,0,7,31,0,0,11,6,2,3,136,31,4,3,33,35,2,2,26,134,12,1,2,1,0,0,34,15,16,26,17,19,4,1,5,91,0,0,7,3,0,2,136,54,25,19,9,7,0,2,130,71,132,11,1,0,0,0,14,26,136,59,1,0,0,0,0,64,11,36,50,7,0,0,111,45,7,4,0,0,0,28,136,116,35,0,0,0,0,10,136,107,78,3,0,0,4,9,33
0,0,0,0,1,103,37,0,9,2,0,0,0,81,129,18,46,18,0,0,0,27,65,18,129,69,0,0,0,1,3,16,6,0,0,0,0,129,89,6,129,42,0,0,0,63,38,31,84,82,8,0,0,0,3,11,129,20,0,0,0,0,14,125,29,0,0,0,0,111,54,21,129,15,0,0,0,7,7,75,101,62,1,0,0,0,0,18,20,29,2,1,2,0,10,28,47,18,0,0,0,11,16,9,129,94,0,0,0,0,0,10,76,92,4,0,0,0,0,0,0,11,4,3,13,0,0,0
15,46,26,0,0,12,18,5,117,117,9,0,0,0,5,7,57,117,15,0,0,0,0,2,54,116,2,0,2,2,0,0,3,117,83,1,0,0,0,0,110,59,48,3,0,0,0,12,117,44,0,0,0,0,2,25,78,51,0,0,11,46,27,8,10,40,12,1,0,0,3,6,33,18,24,4,0,3,22,14,117,16,1,0,0,38,116,42,20,25,5,0,1,117,117,12,1,1,1,1,5,30,13,3,4,10,0,0,0,87,90,8,15,117,8,0,0,51,117,13,4,117,28,1,0,18,35,1
103,12,31,9,0,0,0,113,124,2,0,0,0,0,0,124,40,28,1,1,1,0,1,26,15,61,5,3,2,1,0,0,34,29,82,92,6,0,0,13,124,70,10,3,0,0,0,47,124,54,0,0,0,0,1,26,26,26,9,16,1,0,12,30,8,11,70,94,17,0,0,0,124,34,37,16,0,0,0,43,73,6,0,0,0,1,21,91,2,0,0,0,0,4,91,52,0,38,124,119,0,0,0,0,15,15,124,124,0,0,0,4,16,9,59,41,3,7,14,17,0,0,8,32,13,30,68,6
